 ,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
ASUC Fiscal Year 2025 General Budget [FINAL],,,,,,,,,,
ASUC Chief Financial Officer: Catherine Park,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
ASUC Chartered Programs and Commissions,,,,,,,,,,
Organization,Sponsorship Category,,OASIS Org ID,SUFIN Account (External ID),Finance Rule Waiver,,Contingency Funding,Space Reservation Funding,Final Allocation,Total Funding
ASUC Mental Health Commission,GOVT,,126447,34020287200000,,,,,"$3,000","$3,000"
ASUC Mental Health Commission Chair Stipend,STIPEND,,126447,340202872STIPE,,,,,"$1,500","$1,500"
ASUC Mental Health Commission Director Stipends,STIPEND,,126447,340202872STIPE,,,,,$500,$500
ASUC Housing Commission,GOVT,,46042,34010026000000,,,,,"$3,000","$3,000"
ASUC Housing Commission Chair Stipend,STIPEND,,46042,340100260STIPE,,,,,"$1,250","$1,250"
ASUC Housing Commission Vice Chair Stipend,STIPEND,,46042,340100260STIPE,,,,,$750,$750
ASUC Sexual Violence Commission,GOVT,,91441,34010029600000,,,,,"$1,000","$1,000"
ASUC Disabled Students Commission,GOVT,,46719,34010036000000,,,,,"$4,000","$4,000"
ASUC Disabled Students Commission Co-Chair Stipends ($1000 each),STIPEND,,46719,340100360STIPE,,,,,"$2,000","$2,000"
ASUC Sustainability Commission,GOVT,,46003,34010023600000,,,,,"$5,000","$5,000"
ASUC Sustainablity Commission Co-Chair Stipends ($1000 each),STIPEND,,46003,340100236STIPE,,,,,"$2,000","$2,000"
ASUC Health Advocacy Commission,GOVT,,94207,34010036800000,,,,,"$6,000","$6,000"
ASUC Health Advocacy Commission Co-Chair Stipends ($1000 each),STIPEND,,94207,340100368STIPE,,,,,"$2,000","$2,000"
ASUC Menstrual Equity Commission,GOVT,,46718,34010037200000,,,,,"$1,000","$1,000"
ASUC Menstrual Equity Commission Co-Chair Stipends ($1000 each),STIPEND,,46718,340100372STIPE,,,,,"$2,000","$2,000"
"ASUC Student Union Programming, Entertainment, and Recreation Board",GOVT,,46330,34010028800000,,,,,"$10,000","$10,000"
CalTV,GOVT,,46164,34020072400000,,,,,"$9,000","$9,000"
ASUC Publications and Media Board,GOVT,,162553,34010036400000,,,,,"$4,000","$4,000"
Innovative Design,GOVT,,46493,34010028000000,,,,,"$7,500","$7,500"
Open Computing Facility,GOVT,,46187,34020175200000,,,,,"$40,000","$40,000"
ASUC Student Legal Clinic,GOVT,,46010,34020033200000,,,,,"$2,000","$2,000"
ASUC Grant & Scholarship Foundation,GOVT,,168130,34010032000000,,,,,"$2,000","$2,000"
ASUC Grant & Scholarship Foundation Director Stipends,STIPEND,,168130,340100320STIPE,,,,,"$2,000","$2,000"
GOVT SUBTOTAL,,,,,,,$0,$0,"$111,500","$111,500"
,,,,,,,,,,
ASUC-Sponsored Registered Student Organizations,,,,,,,,,,
Publications (PUB) Registered Student Organizations,,,,,,,,,,
Organization,Sponsorship Category,Years of Sponsorship,OASIS Org ID,SUFIN Account (External ID),Finance Rule Waiver,,Contingency Funding,Space Reservation Funding,Final Allocation,Total Funding
Asian American Research Journal,Publication (PUB),4,46744,34020502400000,,,,,"$1,000","$1,000"
BARE Magazine,Publication (PUB),11,46121,34020036400000,,,,,"$6,000","$6,000"
Berkeley Economic Review,Publication (PUB),5,91369,34020398000000,,,,,"$1,500","$1,500"
"Berkeley Political Review, The",Publication (PUB),22,46130,34020048400000,,,,,"$6,750","$6,750"
Berkeley Scientific Journal,Publication (PUB),8,117510,34020340800000,,,,,"$3,250","$3,250"
Blue and Gold Yearbook,Publication (PUB),10,46368,34020266800000,,,,,"$2,250","$2,250"
Business Review at Berkeley,Publication (PUB),5,91807,34020405600000,,,,,$800,$800
Caravan Travel & Style Magazine,Publication (PUB),7,235072,34020432400000,,,,,"$5,000","$5,000"
Comparative Literature Publication Association,Publication (PUB),2,60651,34020084800000,,,,,$900,$900
MIO (Formerly De Oro),Publication (PUB),1,385345,34020604800000,,,,,$900,$900
DIASPORA Magazine,Publication (PUB),3,360305,34020550400000,,,,,ROLLING SPONSORSHIP,$0
Gia Magazine,Publication (PUB),5,236806,34020459600000,,,,,SPONSORSHIP ONLY (ABSA),$0
Her Campus of Berkeley,Publication (PUB),4,91522,34020493200000,,,,,"$1,000","$1,000"
"Heuristic Squelch, The",Publication (PUB),28,46176,34020125200000,,,,,ROLLING SPONSORSHIP,$0
LIFE Campus Ministry,Publication (PUB),1,321243,34020605200000,,,,,$350,$350
maganda magazine,Publication (PUB),34,46123,34020156800000,,,,,$600,$600
Natural Hair Collective,Publication (PUB),2,377193,34020585600000,,,,,"$1,100","$1,100"
Public Health Advocate,Publication (PUB),20,46161,34020198800000,,,,,"$2,610","$2,610"
Spoon University at Berkeley,Publication (PUB),10,91325,34020221600000,,,,,$500,$500
The Environmentalist,Publication (PUB),1,46503,34020587200000,,,,,$900,$900
Threads,Publication (PUB),25,46116,34020016400000,,,,,"$6,000","$6,000"
To An Unknown God,Publication (PUB),9,46182,34020245200000,,,,,"$3,000","$3,000"
Vagabond Multicultural Journal,Publication (PUB),3,,,,,,,ROLLING SPONSORSHIP,$0
Berkeley Fiction Review,Publication (PUB),41,,,,,,,ROLLING SPONSORSHIP,$0
PUB SUBTOTAL,,,,,,,$0,$0,"$44,410","$44,410"
,,,,,,,,,,
Student Activity Groups (SAG),,,,,,,,,,
Organization,Sponsorship Category,Years of Sponsorship,OASIS Org ID,SUFIN Account (External ID),Finance Rule Waiver,,Contingency Funding,Space Reservation Funding,Final Allocation,Total Funding
180 Degrees Consulting at Berkeley,Student Activity Group (SAG),9,136978,34020304000000,,,,,$800,$800
3D Modeling and Animation at Berkeley,Student Activity Group (SAG),6,222008,34020433600000,,,,,"$1,000","$1,000"
AAAA - Furries at Berkeley,Student Activity Group (SAG),3,92145,34020542800000,,,,,$650,$650
acts2fellowship,Student Activity Group (SAG),23,45854,34020013200000,,,,,"$5,760","$5,760"
Aerial and Pole Club at Berkeley,Student Activity Group (SAG),2,361228,34020560000000,,,,,$650,$650
Aerospace SAE,Student Activity Group (SAG),4,92082,34020299600000,,,,,SPONSORSHIP ONLY (ABSA),$0
African Inclusivity and Solidarity Association,Student Activity Group (SAG),1,77191,34020177200000,,,,,$500,$500
African Maghreb Student Union,Student Activity Group (SAG),2,46086,34020603200000,,,,,$500,$500
AFX Dance,Student Activity Group (SAG),12,91705,34020015200000,,,,,SPONSORSHIP ONLY (ABSA),$0
Aglet Noise Collective,Student Activity Group (SAG),2,378433,34020583600000,,,,,$650,$650
Alpha Epsilon Omega,Student Activity Group (SAG),1,94109,34020605600000,,,,,$500,$500
"Alpha Kappa Alpha Sorority, Inc.",Student Activity Group (SAG),2,45987,34020017200000,,,,,SPONSORSHIP ONLY (ABSA),$0
alpha Kappa Delta Phi,Student Activity Group (SAG),3,91909,34020535200000,,,,,$585,$585
"Alpha Phi Alpha Fraternity Inc, Alpha Epsilon Chapter",Student Activity Group (SAG),21,45988,34020018400000,,,,,"$4,000","$4,000"
American Advertising Federations,Student Activity Group (SAG),8,45858,34020020400000,,,,,$500,$500
American Chemical Society at Berkeley Student Chapter,Student Activity Group (SAG),9,158433,34020354400000,,,,,"$5,000","$5,000"
American Institute of Architecture Students,Student Activity Group (SAG),14,46423,34020021200000,,,,,"$1,080","$1,080"
American Medical Students Association: Berkeley Premedical Chapter,Student Activity Group (SAG),26,45859,34020021600000,,,,,"$1,800","$1,800"
American Medical Women's Association at Berkeley,Student Activity Group (SAG),9,91324,34020022000000,,,,,"$1,600","$1,600"
American Physician Scientist Association at Berkeley,Student Activity Group (SAG),1,220489,34020439600000,,,,,$500,$500
Amores Valientes,Student Activity Group (SAG),2,91713,34020576000000,,,,,SPONSORSHIP ONLY (ABSA),$0
ANova,Student Activity Group (SAG),8,135400,34020309600000,,,,,SPONSORSHIP ONLY (ABSA),$0
ANRE AI Berkeley,Student Activity Group (SAG),1,385035,34020599200000,,,,,$500,$500
Arab Student Union,Student Activity Group (SAG),13,45863,34020025600000,,,,,"$1,500","$1,500"
Argentine Tango Club of Berkeley,Student Activity Group (SAG),5,46536,34020026000000,,,,,$855,$855
Armenian Students Association,Student Activity Group (SAG),2,45865,34020026400000,,,,,$650,$650
Arnold Air Society,Student Activity Group (SAG),7,91798,34020392800000,,,,,"$3,000","$3,000"
Aro/Ace Space at Berkeley,Student Activity Group (SAG),2,351118,34020528400000,,,,,$650,$650
Art and Mind,Student Activity Group (SAG),7,221627,34020427600000,,,,,$500,$500
Artists in Resonance,Student Activity Group (SAG),10,46731,34020294000000,,,,,"$3,375","$3,375"
Asian American Association,Student Activity Group (SAG),27,45870,34020028800000,,,,,"$5,400","$5,400"
Association for Socially Responsible Business,Student Activity Group (SAG),7,91682,34020371600000,,,,,$900,$900
Association of Korean Artists,Student Activity Group (SAG),5,220977,34020422000000,,,,,$200,$200
Association of Women in EE&CS,Student Activity Group (SAG),3,342808,34020530800000,,,,,SPONSORSHIP ONLY (ABSA),$0
Atlas Strategy Group,Student Activity Group (SAG),2,378444,34020578000000,,,,,SPONSORSHIP ONLY (ABSA),$0
Aurum Cosmetics,Student Activity Group (SAG),6,157733,34020357200000,,,,,$720,$720
Backstage At Berkeley,Student Activity Group (SAG),1,375307,34020576400000,,,,,SPONSORSHIP ONLY (ABSA),$0
Ballet Company At Berkeley,Student Activity Group (SAG),13,46565,34020035600000,,,,,"$1,980","$1,980"
Ballet Folklorico Reflejos Del Sol,Student Activity Group (SAG),11,91710,34020036000000,,,,,$960,$960
Barbell at Berkeley,Student Activity Group (SAG),2,135269,34020365600000,,,,,$500,$500
Bay Area Environmentally Aware Consulting Network,Student Activity Group (SAG),14,46015,34020036800000,,,,,SPONSORSHIP ONLY (ABSA),$0
BCS Organizing Committee,Student Activity Group (SAG),3,222091,34020530400000,,,,,$650,$650
Bear Power Fund,Student Activity Group (SAG),5,119164,34020468400000,,,,,"$2,385","$2,385"
Behavioral Economics Association at Berkeley,Student Activity Group (SAG),3,360312,34020555200000,,,,,$650,$650
BERC Undergraduate,Student Activity Group (SAG),5,230963,34020043600000,,,,,$450,$450
BERKE1337 Cyber Security Team,Student Activity Group (SAG),2,91452,34020529200000,,,,,$650,$650
Berkeley Chinese Students and Scholars Association,Student Activity Group (SAG),18,46468,34020042000000,,,,,"$5,000","$5,000"
Berkeley Environmental Economics and Policy Students,Student Activity Group (SAG),2,91482,34020044000000,,,,,$460,$460
Berkeley Indonesian Student Association,Student Activity Group (SAG),7,"45,889",34020045600000,,,,,$650,$650
Berkeley Innovation,Student Activity Group (SAG),8,91216,34020046000000,,,,,SPONSORSHIP ONLY (ABSA),$0
Berkeley Organization for Animal Advocacy,Student Activity Group (SAG),9,45892,34020047600000,,,,,$540,$540
Berkeley Women in Business,Student Activity Group (SAG),20,45896,34020051200000,,,,,$650,$650
Beta Corporate Solutions,Student Activity Group (SAG),2,147516,34020489200000,,,,,SPONSORSHIP ONLY (ABSA),$0
BIA at Berkeley,Student Activity Group (SAG),1,378033,34020584000000,,,,,SPONSORSHIP ONLY (ABSA),$0
Big Data at Berkeley,Student Activity Group (SAG),6,235179,34020441200000,,,,,$585,$585
Bioengineering Mentor Program,Student Activity Group (SAG),3,362064,34020547200000,,,,,$500,$500
BioethiCAL,Student Activity Group (SAG),3,304125,34020557200000,,,,,$650,$650
Biofuels Technology Club,Student Activity Group (SAG),6,132779,34020402800000,,,,,"$5,400","$5,400"
Biomedical Engineering Society,Student Activity Group (SAG),5,91227,34020469600000,,,,,$500,$500
Black Pre-Law Association,Student Activity Group (SAG),7,46341,34020053600000,,,,,$800,$800
Black Student Union,Student Activity Group (SAG),15,46578,34020054400000,,,,,"$26,500","$26,500"
Black Students in Health Association,Student Activity Group (SAG),2,46045,34020054800000,,,,,$585,$585
Board Games at Berkeley,Student Activity Group (SAG),2,91892,34020369600000,,,,,$650,$650
Bone Health Initiative,Student Activity Group (SAG),9,117788,34020284800000,,,,,$700,$700
Brazilian Student Association at Berkeley,Student Activity Group (SAG),1,117507,34020441600000,,,,,$500,$500
Brick by Brick at Berkeley,Student Activity Group (SAG),1,91961,34020603600000,,,,,$500,$500
BridgeUSA at Berkeley,Student Activity Group (SAG),7,165240,34020370400000,,,,,"$4,000","$4,000"
Cal American Civil Liberties Union,Student Activity Group (SAG),8,45880,34020039200000,,,,,$500,$500
Cal Berkeley Democrats,Student Activity Group (SAG),27,45903,34020060400000,,,,,"$4,500","$4,500"
Cal Dragon Boat,Student Activity Group (SAG),21,45904,34020062000000,,,,,"$13,000","$13,000"
Cal Hawai'i Club,Student Activity Group (SAG),36,45905,34020062800000,,,,,"$3,600","$3,600"
Cal Hiking and Outdoors Society,Student Activity Group (SAG),76,45906,34020063600000,,,,,"$6,720","$6,720"
Cal in the Capital,Student Activity Group (SAG),46,45907,34020064400000,,,,,"$1,500","$1,500"
Cal Japan Club,Student Activity Group (SAG),17,45909,34020064800000,,,,,"$2,800","$2,800"
Cal Pre-Vet Club,Student Activity Group (SAG),14,45912,34020066400000,,,,,$585,$585
Cal Queer & Asian,Student Activity Group (SAG),16,46079,34020066800000,,,,,SPONSORSHIP ONLY (ABSA),$0
Cal Taiko,Student Activity Group (SAG),19,45916,34020068000000,,,,,"$5,600","$5,600"
Cal Undergraduate Public Health Coalition,Student Activity Group (SAG),20,45918,34020068400000,,,,,"$1,030","$1,030"
California Mock Trial,Student Activity Group (SAG),24,45919,34020070000000,,,,,"$30,000","$30,000"
Cantonese Initiative of Berkeley,Student Activity Group (SAG),1,385228,34020598000000,,,,,$450,$450
Caribbean Student Association,Student Activity Group (SAG),1,385095,34020600000000,,,,,$450,$450
Celerity Traditional Dance Team,Student Activity Group (SAG),1,368856,34020580400000,,,,,$500,$500
Chess Club at Berkeley,Student Activity Group (SAG),2,91902,34020343200000,,,,,$650,$650
Chinese A Cappella at Berkeley,Student Activity Group (SAG),8,91326,34020274000000,,,,,$800,$800
Chinese Student Association,Student Activity Group (SAG),35,45927,34020076400000,,,,,"$13,900","$13,900"
Chinese Undergraduate Pre-Law Student Association,Student Activity Group (SAG),3,351386,34020536000000,,,,,$650,$650
Cinematic Arts and Production Club,Student Activity Group (SAG),5,222010,34020472400000,,,,,"$6,000","$6,000"
Circle K International,Student Activity Group (SAG),30,45928,34020078400000,,,,,"$5,040","$5,040"
Code For Good,Student Activity Group (SAG),3,343558,34020410000000,,,,,$650,$650
Codeology,Student Activity Group (SAG),7,91287,34020398400000,,,,,"$2,000","$2,000"
Codify,Student Activity Group (SAG),2,368338,34020559200000,,,,,$400,$400
Cognitive Science Students Association,Student Activity Group (SAG),4,46287,34020081600000,,,,,$500,$500
Collaborative Dorms Society,Student Activity Group (SAG),1,378430,34020586800000,,,,,$500,$500
ColorStack at Berkeley,Student Activity Group (SAG),2,385102,34020597200000,,,,,$500,$500
Computer Science Undergraduate Association,Student Activity Group (SAG),50,45930,34020085600000,,,,,"$2,024","$2,024"
Consult Your Community (CYC) at Berkeley,Student Activity Group (SAG),11,83091,34020086000000,,,,,"$1,700","$1,700"
Core Consulting Group,Student Activity Group (SAG),2,361237,34020549200000,,,,,$500,$500
Creative Applications to Life in Origami,Student Activity Group (SAG),11,46563,34020087200000,,,,,$600,$600
Creative Writers Association,Student Activity Group (SAG),1,220452,34020594400000,,,,,$650,$650
Cricket Club of Berkeley,Student Activity Group (SAG),3,91905,34020434800000,,,,,$650,$650
Crossword Club,Student Activity Group (SAG),1,122515,34020602800000,,,,,$450,$450
CS KickStart,Student Activity Group (SAG),10,56944,34020089200000,,,,,"$4,000","$4,000"
Dance Games at Berkeley,Student Activity Group (SAG),3,342892,34020520400000,,,,,$585,$585
Dance the Bay,Student Activity Group (SAG),11,92069,34020090400000,,,,,"$1,530","$1,530"
Data Science Society at Berkeley,Student Activity Group (SAG),9,144718,34020307600000,,,,,"$2,500","$2,500"
DataGood Berkeley,Student Activity Group (SAG),4,320218,34020487200000,,,,,"$1,900","$1,900"
DataStory,Student Activity Group (SAG),4,290145,34020461200000,,,,,$650,$650
Datong Society of China Studies,Student Activity Group (SAG),4,91486,34020304800000,,,,,$650,$650
Debate Society of Berkeley,Student Activity Group (SAG),12,71335,34020022800000,,,,,"$14,000","$14,000"
DeCadence,Student Activity Group (SAG),24,45937,34020092000000,,,,,"$2,250","$2,250"
Delta Consulting ,Student Activity Group (SAG),5,320987,34020491600000,,,,,SPONSORSHIP ONLY (ABSA),$0
"Delta Sigma Theta Sorority, Incorporated Kappa Chapter",Student Activity Group (SAG),2,46108,34020093600000,,,,,$500,$500
Department of Integrative Biology Students,Student Activity Group (SAG),5,54275,34020094400000,,,,,"$1,550","$1,550"
Dermatological at Berkeley,Student Activity Group (SAG),1,376131,34020606000000,,,,,$500,$500
Design at Berkeley,Student Activity Group (SAG),4,321623,34020484800000,,,,,$650,$650
Diversity and Inclusion in Real Estate,Student Activity Group (SAG),1,368380,34020563600000,,,,,$500,$500
DREAM Campus Ministry,Student Activity Group (SAG),2,92008,34020379600000,,,,,$650,$650
Dutch Student Association at Berkeley,Student Activity Group (SAG),2,91534,34020401200000,,,,,$500,$500
East Asian Caucus,Student Activity Group (SAG),1,91273,34020590800000,,,,,$500,$500
East Asian Culinary Club,Student Activity Group (SAG),3,361428,34020548800000,,,,,$650,$650
East Asian Union,Student Activity Group (SAG),15,46534,34020098400000,,,,,"$8,000","$8,000"
Engineering Student Council (ESC),Student Activity Group (SAG),34,45944,34020103200000,,,,,"$80,000","$80,000"
English Undergraduate Association,Student Activity Group (SAG),1,45946,34020105200000,,,,,$500,$500
Entomology Club,Student Activity Group (SAG),2,159392,34020406400000,,,,,$500,$500
Entrepreneurs@Berkeley,Student Activity Group (SAG),4,46522,34020406800000,,,,,$500,$500
Environmental Sciences Student Association,Student Activity Group (SAG),4,91488,34020297200000,,,,,$650,$650
Environmental Team,Student Activity Group (SAG),4,91245,34020504400000,,,,,SPONSORSHIP ONLY (ABSA),$0
Eta Kappa Nu (under ESC),Student Activity Group (SAG),9,91271,34020467200000,,,,,SPONSORSHIP ONLY (ABSA),$0
EthiCAL Apparel,Student Activity Group (SAG),3,46624,34020107200000,,,,,$650,$650
Faces of African Muslims,Student Activity Group (SAG),7,165193,34020400000000,,,,,"$8,000","$8,000"
Fashion and Student Trends,Student Activity Group (SAG),13,45950,34020108400000,,,,,"$8,500","$8,500"
Fei Tian Dancers,Student Activity Group (SAG),19,45951,34020109200000,,,,,"$2,000","$2,000"
Fiat Lux Scholars Association,Student Activity Group (SAG),2,91236,34020065600000,,,,,$650,$650
Fighting Games at Berkeley,Student Activity Group (SAG),2,343225,34020528800000,,,,,$540,$540
Finance Club at Berkeley (BFC) [Formerly Sales and Trading Club at Berkeley],Student Activity Group (SAG),2,83003,34020434400000,,,,,$500,$500
Financial Education Association of Berkeley,Student Activity Group (SAG),1,342607,34020518000000,,,,,$360,$360
Foresight Pre-Optometry Club,Student Activity Group (SAG),31,45954,34020111600000,,,,,SPONSORSHIP ONLY (ABSA),$0
Formula Electric at Berkeley (Formerly bLoop),Student Activity Group (SAG),4,138585,34020300400000,,,,,SPONSORSHIP ONLY (ABSA),$0
Freestyles at Berkeley,Student Activity Group (SAG),1,91590,34020606400000,,,,,$400,$400
Frontera at Berkeley,Student Activity Group (SAG),1,368347,34020564400000,,,,,$500,$500
"Future Business Leaders of America-Phi Beta Lambda, Inc.",Student Activity Group (SAG),19,45958,34020114400000,,,,,"$3,420","$3,420"
Game Design and Development at Berkeley,Student Activity Group (SAG),6,91401,34020430400000,,,,,$750,$750
Gamma Epsilon Mu,Student Activity Group (SAG),1,385418,34020606800000,,,,,$500,$500
Garuda Capital,Student Activity Group (SAG),1,361557,34020607200000,,,,,SPONSORSHIP ONLY (ABSA),$0
Gender Equity in Mathematics at Berkeley,Student Activity Group (SAG),10,91772,34020260400000,,,,,$800,$800
GENup Collegiate at Berkeley,Student Activity Group (SAG),1,321245,34020557600000,,,,,$500,$500
GeoWall at Berkeley,Student Activity Group (SAG),1,290340,34020506400000,,,,,SPONSORSHIP ONLY (ABSA),$0
Girl Up at Berkeley,Student Activity Group (SAG),3,92014,34020296000000,,,,,$650,$650
Glamity at Berkeley,Student Activity Group (SAG),1,376133,34020607600000,,,,,$450,$450
GlamourGals at Berkeley,Student Activity Group (SAG),1,377198,34020591200000,,,,,$500,$500
Haas Finance Group (HFG),Student Activity Group (SAG),1,378619,34020608000000,,,,,$500,$500
Haas Undergraduate Black Business Association,Student Activity Group (SAG),7,46300,34020121200000,,,,,$585,$585
Hackathons at Berkeley (formerly Hack the Bay),Student Activity Group (SAG),2,123010,34020495600000,,,,,SPONSORSHIP ONLY (ABSA),$0
Healthcare Business Association at Berkeley,Student Activity Group (SAG),1,290345,34020464800000,,,,,$500,$500
