Organization,Sponsorship Category,OASIS Org ID,SUFIN Account (External ID),Finance Rule Waiver,Contingency Funding,Space Reservation Funding,Final Allocation,Total Funding,Org Category,Years of Sponsorship
Gender Equity in Mathematics at Berkeley,Student Activity Group (SAG),91772,34020260400000,,,,$800,$800,Student Activity Groups (SAG),10
GENup Collegiate at Berkeley,Student Activity Group (SAG),321245,34020557600000,,,,$500,$500,Student Activity Groups (SAG),1
GeoWall at Berkeley,Student Activity Group (SAG),290340,34020506400000,,,,SPONSORSHIP ONLY (ABSA),$0,Student Activity Groups (SAG),1
Girl Up at Berkeley,Student Activity Group (SAG),92014,34020296000000,,,,$650,$650,Student Activity Groups (SAG),3
Glamity at Berkeley,Student Activity Group (SAG),376133,34020607600000,,,,$450,$450,Student Activity Groups (SAG),1
GlamourGals at Berkeley,Student Activity Group (SAG),377198,34020591200000,,,,$500,$500,Student Activity Groups (SAG),1
Haas Finance Group (HFG),Student Activity Group (SAG),378619,34020608000000,,,,$500,$500,Student Activity Groups (SAG),1
Haas Undergraduate Black Business Association,Student Activity Group (SAG),46300,34020121200000,,,,$585,$585,Student Activity Groups (SAG),7
Hackathons at Berkeley (formerly Hack the Bay),Student Activity Group (SAG),123010,34020495600000,,,,SPONSORSHIP ONLY (ABSA),$0,Student Activity Groups (SAG),2
Healthcare Business Association at Berkeley,Student Activity Group (SAG),290345,34020464800000,,,,$500,$500,Student Activity Groups (SAG),1
Healthcare Consulting Group at Berkeley,Student Activity Group (SAG),221241,34020431600000,,,,$630,$630,Student Activity Groups (SAG),6
Hermanas Unidas de UC Berkeley,Student Activity Group (SAG),46141,34020124400000,,,,$650,$650,Student Activity Groups (SAG),2
"Hindu YUVA-Youth for Unity, Virtues and Action",Student Activity Group (SAG),91523,34020566000000,,,,$650,$650,Student Activity Groups (SAG),2
Hispanic Engineers and Scientists,Student Activity Group (SAG),46147,34020126000000,,,,$585,$585,Student Activity Groups (SAG),9
Historical Fencing Club of Berkeley,Student Activity Group (SAG),46714,34020420400000,,,,"$2,200","$2,200",Student Activity Groups (SAG),6
Hong Kong Student Association,Student Activity Group (SAG),45965,34020127200000,,,,"$1,800","$1,800",Student Activity Groups (SAG),30
HOSA Future Health Professionals of Berkeley,Student Activity Group (SAG),290346,34020608400000,,,,$500,$500,Student Activity Groups (SAG),1
iGEM at Berkeley,Student Activity Group (SAG),235895,34020432000000,,,,SPONSORSHIP ONLY (ABSA),$0,Student Activity Groups (SAG),6
Indian Students Association,Student Activity Group (SAG),45966,34020130400000,,,,"$9,600","$9,600",Student Activity Groups (SAG),21
Institute of Industrial and Systems Engineers,Student Activity Group (SAG),91280,34020293600000,,,,$500,$500,Student Activity Groups (SAG),1
"Intermission Orchestra, The",Student Activity Group (SAG),91332,34020385600000,,,,"$2,250","$2,250",Student Activity Groups (SAG),6
International Consulting Club at Berkeley,Student Activity Group (SAG),289736,34020538000000,,,,$650,$650,Student Activity Groups (SAG),3
International Healthcare Association,Student Activity Group (SAG),325447,34020494000000,,,,$650,$650,Student Activity Groups (SAG),5
InterVarsity Christian Fellowship,Student Activity Group (SAG),45974,34020137600000,,,,"$5,850","$5,850",Student Activity Groups (SAG),26
Invention Corps of Berkeley,Student Activity Group (SAG),164469,34020360000000,,,,"$1,500","$1,500",Student Activity Groups (SAG),5
Iranian Students Cultural Organization,Student Activity Group (SAG),45976,34020139200000,,,,"$14,000","$14,000",Student Activity Groups (SAG),26
Jakara Movement Club,Student Activity Group (SAG),144722,34020326000000,,,,$500,$500,Student Activity Groups (SAG),7
Jewish Voice for Peace at Berkeley,Student Activity Group (SAG),221473,34020430800000,,,,$225,$225,Student Activity Groups (SAG),1
JFashion at Berkeley,Student Activity Group (SAG),385044,34020608800000,,,,$350,$350,Student Activity Groups (SAG),1
Jugger at Berkeley,Student Activity Group (SAG),123317,34020142400000,,,,"$2,210","$2,210",Student Activity Groups (SAG),7
Kairos Dance Co.,Student Activity Group (SAG),91918,34020527600000,,,,$585,$585,Student Activity Groups (SAG),3
Kappa Alpha Pi Pre-Law Fraternity ,Student Activity Group (SAG),91348,34020144400000,,,,SPONSORSHIP ONLY (ABSA),$0,Student Activity Groups (SAG),9
Kappa Gamma Delta,Student Activity Group (SAG),45983,34020144800000,,,,"$1,350","$1,350",Student Activity Groups (SAG),12
Keebs at Berkeley,Student Activity Group (SAG),362003,34020589600000,,,,$585,$585,Student Activity Groups (SAG),2
Kendo Club,Student Activity Group (SAG),46627,34020145600000,,,,$900,$900,Student Activity Groups (SAG),5
Kerusso Fellowship,Student Activity Group (SAG),342064,34020566800000,,,,SPONSORSHIP ONLY (ABSA),$0,Student Activity Groups (SAG),2
Kidney Disease Screening and Awareness Program,Student Activity Group (SAG),135415,34020380800000,,,,"$2,500","$2,500",Student Activity Groups (SAG),8
Kink Club,Student Activity Group (SAG),137708,34020374400000,,,,$585,$585,Student Activity Groups (SAG),2
Korean Business  Society,Student Activity Group (SAG),159286,34020475600000,,,,SPONSORSHIP ONLY (ABSA),$0,Student Activity Groups (SAG),2
Korean Performance Group,Student Activity Group (SAG),59417,34020277200000,,,,$700,$700,Student Activity Groups (SAG),9
"Lambda Theta Nu Sorority, Inc.",Student Activity Group (SAG),46156,34020150000000,,,,"$1,080","$1,080",Student Activity Groups (SAG),14
Latin American Leadership Society,Student Activity Group (SAG),125268,34020277600000,,,,$650,$650,Student Activity Groups (SAG),10
Latinx Pre-Law Society,Student Activity Group (SAG),46000,34020152000000,,,,$650,$650,Student Activity Groups (SAG),3
Launchpad,Student Activity Group (SAG),163843,34020375200000,,,,"$1,150","$1,150",Student Activity Groups (SAG),8
Lavender Alliance at Berkeley,Student Activity Group (SAG),333498,34020508000000,,,,SPONSORSHIP ONLY (ABSA),$0,Student Activity Groups (SAG),4
Laya of Berkeley,Student Activity Group (SAG),117506,34020446400000,,,,"$2,000","$2,000",Student Activity Groups (SAG),6
Le Cercle Français of Berkeley,Student Activity Group (SAG),91299,34020615200000,,,,$300,$300,Student Activity Groups (SAG),8
Lindy on Sproul,Student Activity Group (SAG),46655,34020155600000,,,,$650,$650,Student Activity Groups (SAG),14
Logging Sports Team,Student Activity Group (SAG),46452,34020156000000,,,,$650,$650,Student Activity Groups (SAG),2
Love Stories Book Club,Student Activity Group (SAG),361707,34020614000000,,,,$300,$300,Student Activity Groups (SAG),2
LUXX,Student Activity Group (SAG),351500,34020579600000,,,,$650,$650,Student Activity Groups (SAG),2
Mahjong Club,Student Activity Group (SAG),91956,34020278000000,,,,$650,$650,Student Activity Groups (SAG),2
Main Stacks Dance Team,Student Activity Group (SAG),46004,34020157600000,,,,"$2,000","$2,000",Student Activity Groups (SAG),12
Malaysian Student Association at Berkeley,Student Activity Group (SAG),139269,34020338800000,,,,$585,$585,Student Activity Groups (SAG),4
Mariachi Luz de Oro,Student Activity Group (SAG),83049,34020158800000,,,,"$2,100","$2,100",Student Activity Groups (SAG),11
Mathematics Undergraduate Student Association,Student Activity Group (SAG),91296,34020375600000,,,,SPONSORSHIP ONLY (ABSA),$0,Student Activity Groups (SAG),8
MI2 @ Berkeley,Student Activity Group (SAG),343546,34020554000000,,,,$158,$158,Student Activity Groups (SAG),2
Microfinance at Berkeley,Student Activity Group (SAG),61000,34020161600000,,,,"$2,000","$2,000",Student Activity Groups (SAG),12
Middle Eastern Business Association,Student Activity Group (SAG),301968,34020508800000,,,,$650,$650,Student Activity Groups (SAG),4
Minorities in Health Conferece,Student Activity Group (SAG),290172,34020462000000,,,,"$1,000","$1,000",Student Activity Groups (SAG),5
Molecular and Cell Biology Cell Developmental Neurobiological Association,Student Activity Group (SAG),46703,34020164400000,,,,$800,$800,Student Activity Groups (SAG),10
Muslim Student Association,Student Activity Group (SAG),46012,34020167600000,,,,"$25,000","$25,000",Student Activity Groups (SAG),38
Natya at Berkeley,Student Activity Group (SAG),46583,34020170000000,,,,"$3,000","$3,000",Student Activity Groups (SAG),11
Nazakat at Berkeley,Student Activity Group (SAG),114698,34020145200000,,,,$650,$650,Student Activity Groups (SAG),2
Needles to Neurons at Berkeley,Student Activity Group (SAG),91376,34020594800000,,,,$650,$650,Student Activity Groups (SAG),2
NewSpace at Berkeley,Student Activity Group (SAG),361222,34020548000000,,,,$585,$585,Student Activity Groups (SAG),3
Nigerian Students Association,Student Activity Group (SAG),46678,34020171200000,,,,"$1,600","$1,600",Student Activity Groups (SAG),8
Nikkei Choral Ensemble,Student Activity Group (SAG),157897,34020358000000,,,,"$1,000","$1,000",Student Activity Groups (SAG),8
Nikkei Student Union,Student Activity Group (SAG),46014,34020171600000,,,,"$3,500","$3,500",Student Activity Groups (SAG),22
Noteworthy A Cappella,Student Activity Group (SAG),54272,34020593200000,,,,$650,$650,Student Activity Groups (SAG),2
Nova Consulting,Student Activity Group (SAG),160637,34020614400000,,,,$500,$500,Student Activity Groups (SAG),2
Nuclear Is Clean Energy Club,Student Activity Group (SAG),361940,34020583200000,,,,$500,$500,Student Activity Groups (SAG),2
Open Project,Student Activity Group (SAG),368435,34020556400000,,,,$540,$540,Student Activity Groups (SAG),2
Optimir Consulting,Student Activity Group (SAG),91626,34020175600000,,,,$350,$350,Student Activity Groups (SAG),4
Our Monologues (Formerly Known as V-Day at Berkeley),Student Activity Group (SAG),46219,34020255200000,,,,$500,$500,Student Activity Groups (SAG),3
Outlet,Student Activity Group (SAG),122285,34020178800000,,,,"$1,200","$1,200",Student Activity Groups (SAG),11
Outsiders,Student Activity Group (SAG),360307,34020546400000,,,,$650,$650,Student Activity Groups (SAG),3
Pacific Bridge,Student Activity Group (SAG),385097,34020609200000,,,,$300,$300,Student Activity Groups (SAG),1
Pakistani Student Association,Student Activity Group (SAG),46019,34020179600000,,,,"$1,000","$1,000",Student Activity Groups (SAG),20
Palestinian Public Health at UC Berkeley,Student Activity Group (SAG),325654,34020515200000,,,,$650,$650,Student Activity Groups (SAG),4
Paragon Consulting at Berkeley,Student Activity Group (SAG),304128,34020509600000,,,,$650,$650,Student Activity Groups (SAG),2
Parliamentary Debate at Berkeley,Student Activity Group (SAG),46426,34020180000000,,,,"$3,500","$3,500",Student Activity Groups (SAG),14
Partnership for Pre-Professional Pilipinxs,Student Activity Group (SAG),46021,34020180400000,,,,"$1,250","$1,250",Student Activity Groups (SAG),24
"Phi Alpha Delta Law Fraternity, International",Student Activity Group (SAG),46367,34020185200000,,,,$700,$700,Student Activity Groups (SAG),15
Phi Alpha Theta,Student Activity Group (SAG),46022,34020185600000,,,,$400,$400,Student Activity Groups (SAG),21
Phi Delta Epsilon International Medical Fraternity,Student Activity Group (SAG),46190,34020186400000,,,,"$1,200","$1,200",Student Activity Groups (SAG),14
Pilipino American Alliance,Student Activity Group (SAG),46027,34020189600000,,,,"$10,000","$10,000",Student Activity Groups (SAG),34
Pilipino Association for Health Careers,Student Activity Group (SAG),46028,34020190000000,,,,"$5,000","$5,000",Student Activity Groups (SAG),32
Pilipinx Association of Scientists Architects and Engineers,Student Activity Group (SAG),46031,34020190400000,,,,SPONSORSHIP ONLY (ABSA),$0,Student Activity Groups (SAG),36
Pointe of Berkeley,Student Activity Group (SAG),144535,34020329200000,,,,"$2,880","$2,880",Student Activity Groups (SAG),8
Pre-Medical Honor Society,Student Activity Group (SAG),91309,34020351600000,,,,"$1,500","$1,500",Student Activity Groups (SAG),8
PreDental Society,Student Activity Group (SAG),46032,34020194400000,,,,"$2,500","$2,500",Student Activity Groups (SAG),41
Premier Consulting Group,Student Activity Group (SAG),91790,34020609600000,,,,$500,$500,Student Activity Groups (SAG),1
Psychedelic Science at Berkeley,Student Activity Group (SAG),144443,34020311200000,,,,$650,$650,Student Activity Groups (SAG),5
Public School Records,Student Activity Group (SAG),164979,34020610000000,,,,$500,$500,Student Activity Groups (SAG),1
Puente at Berkeley,Student Activity Group (SAG),146340,34020199600000,,,,"$1,600","$1,600",Student Activity Groups (SAG),7
Quidditch League at Berkeley,Student Activity Group (SAG),46692,34020329600000,,,,"$1,700","$1,700",Student Activity Groups (SAG),16
Ra-On,Student Activity Group (SAG),46041,34020201600000,,,,"$2,700","$2,700",Student Activity Groups (SAG),13
Raas Ramzat,Student Activity Group (SAG),165797,34020363200000,,,,"$1,800","$1,800",Student Activity Groups (SAG),8
Regents' and Chancellor's Scholars Association,Student Activity Group (SAG),46044,34020204000000,,,,$585,$585,Student Activity Groups (SAG),5
REVERB,Student Activity Group (SAG),"385,417",34020610400000,,,,$500,$500,Student Activity Groups (SAG),1
RoboBears,Student Activity Group (SAG),157725,34020349600000,,,,$585,$585,Student Activity Groups (SAG),2
Salsa at Cal,Student Activity Group (SAG),46694,34020207600000,,,,"$5,000","$5,000",Student Activity Groups (SAG),11
Saudi Arabian Association at Berkeley,Student Activity Group (SAG),144536,34020330000000,,,,$650,$650,Student Activity Groups (SAG),3
Science Olympiad at Berkeley,Student Activity Group (SAG),140582,34020330400000,,,,SPONSORSHIP ONLY (ABSA),$0,Student Activity Groups (SAG),2
SDG Undergraduate Research Group,Student Activity Group (SAG),289451,34020511200000,,,,$450,$450,Student Activity Groups (SAG),1
Sigma Alpha Nu,Student Activity Group (SAG),46051,34020210800000,,,,"$5,000","$5,000",Student Activity Groups (SAG),14
Sigma Gamma Rho Sorority Incorporated,Student Activity Group (SAG),46626,34020211600000,,,,$650,$650,Student Activity Groups (SAG),2
Sigma Omicron Pi,Student Activity Group (SAG),91703,34020354800000,,,,$500,$500,Student Activity Groups (SAG),2
"Sigma Pi Alpha Sorority, Inc.",Student Activity Group (SAG),46206,34020213200000,,,,"$1,500","$1,500",Student Activity Groups (SAG),15
Singapore Student Association,Student Activity Group (SAG),46513,34020214400000,,,,"$1,350","$1,350",Student Activity Groups (SAG),5
Society for the Study of Modern Visual Culture at Berkeley,Student Activity Group (SAG),91678,34020555600000,,,,SPONSORSHIP ONLY (ABSA),$0,Student Activity Groups (SAG),3
Society of Physics Students at Berkeley,Student Activity Group (SAG),91434,34020217200000,,,,$585,$585,Student Activity Groups (SAG),3
Society of Women Engineers,Student Activity Group (SAG),91336,34020479200000,,,,SPONSORSHIP ONLY (ABSA),$0,Student Activity Groups (SAG),9
Songwriting at Berkeley,Student Activity Group (SAG),143258,34020356800000,,,,$500,$500,Student Activity Groups (SAG),7
Soon Movement,Student Activity Group (SAG),91267,34020570000000,,,,$650,$650,Student Activity Groups (SAG),2
South Indian Society,Student Activity Group (SAG),145622,34020346800000,,,,"$6,000","$6,000",Student Activity Groups (SAG),9
Space Technologies at California,Student Activity Group (SAG),160211,34020347200000,,,,SPONSORSHIP ONLY (ABSA),$0,Student Activity Groups (SAG),8
Splatoon at Berkeley,Student Activity Group (SAG),368339,34020570800000,,,,$650,$650,Student Activity Groups (SAG),2
Sports Analytics Group at Berkeley,Student Activity Group (SAG),146260,34020385200000,,,,$650,$650,Student Activity Groups (SAG),5
Spring Foundation,Student Activity Group (SAG),66099,34020222800000,,,,$650,$650,Student Activity Groups (SAG),9
Student Food Collective,Student Activity Group (SAG),46248,34020227200000,,,,"$1,186","$1,186",Student Activity Groups (SAG),4
Students for Life at Berkeley,Student Activity Group (SAG),45894,34020233200000,,,,"$1,000","$1,000",Student Activity Groups (SAG),27
Students vs Pandemics at Berkeley,Student Activity Group (SAG),324164,34020550800000,,,,$650,$650,Student Activity Groups (SAG),3
SUR at California,Student Activity Group (SAG),385341,34020598800000,,,,$650,$650,Student Activity Groups (SAG),2
Surge - Electric Endurance Motorcycle Team at Berkeley,Student Activity Group (SAG),378135,34020596800000,,,,$500,$500,Student Activity Groups (SAG),1
T.I.n.Y. Chinese Theatre Group,Student Activity Group (SAG),117787,34020236400000,,,,$700,$700,Student Activity Groups (SAG),8
Taiwanese American Student Association,Student Activity Group (SAG),46080,34020236800000,,,,"$5,000","$5,000",Student Activity Groups (SAG),27
Taiwanese Student Association,Student Activity Group (SAG),46078,34020237200000,,,,"$2,000","$2,000",Student Activity Groups (SAG),28
TAMID Group,Student Activity Group (SAG),60055,34020332400000,,,,SPONSORSHIP ONLY (ABSA),$0,Student Activity Groups (SAG),3
Taylor Swift Society of Berkeley,Student Activity Group (SAG),360315,34020547600000,,,,$650,$650,Student Activity Groups (SAG),3
TBD Comedy,Student Activity Group (SAG),59918,34020238000000,,,,$800,$800,Student Activity Groups (SAG),8
Telegraph for People,Student Activity Group (SAG),360310,34020610800000,,,,$500,$500,Student Activity Groups (SAG),1
Thai American Cultural Association,Student Activity Group (SAG),360306,34020542000000,,,,$585,$585,Student Activity Groups (SAG),3
The [M]ovement,Student Activity Group (SAG),46008,34020165200000,,,,$650,$650,Student Activity Groups (SAG),24
The Bearettes at Berkeley,Student Activity Group (SAG),138343,34020299200000,,,,"$5,600","$5,600",Student Activity Groups (SAG),7
The Berkeley Forum,Student Activity Group (SAG),83089,34020044800000,,,,"$13,000","$13,000",Student Activity Groups (SAG),14
The Dialectic,Student Activity Group (SAG),351416,34020571200000,,,,$650,$650,Student Activity Groups (SAG),2
The Wardroom,Student Activity Group (SAG),158346,34020414800000,,,,$500,$500,Student Activity Groups (SAG),1
The Wildlife Society at Berkeley,Student Activity Group (SAG),91802,34020259600000,,,,$650,$650,Student Activity Groups (SAG),3
Theater for Charity ,Student Activity Group (SAG),46215,34020243200000,,,,SPONSORSHIP ONLY (ABSA),$0,Student Activity Groups (SAG),21
Theta Tau,Student Activity Group (SAG),45947,34020244000000,,,,$400,$400,Student Activity Groups (SAG),6
Thrive Dance Company,Student Activity Group (SAG),46734,34020244400000,,,,"$5,400","$5,400",Student Activity Groups (SAG),11
Translational Medicine and Stem Cell Association,Student Activity Group (SAG),46211,34020229600000,,,,$450,$450,Student Activity Groups (SAG),5
Transylvanian Temptations,Student Activity Group (SAG),378048,34020588000000,,,,$500,$500,Student Activity Groups (SAG),2
Tri-Service Corps of Cadets,Student Activity Group (SAG),91329,34020499200000,,,,"$1,350","$1,350",Student Activity Groups (SAG),4
Turkish Student Association at Berkeley,Student Activity Group (SAG),91563,34020601200000,,,,"$2,000","$2,000",Student Activity Groups (SAG),5
Two Hands,Student Activity Group (SAG),378442,34020613600000,,,,$350,$350,Student Activity Groups (SAG),2
UC Berkeley Indus,Student Activity Group (SAG),45967,34020130800000,,,,"$15,000","$15,000",Student Activity Groups (SAG),35
UC Berkeley Model United Nations,Student Activity Group (SAG),46089,34020248400000,,,,"$20,000","$20,000",Student Activity Groups (SAG),33
UC Jazz Ensemble,Student Activity Group (SAG),46090,34020248800000,,,,"$7,200","$7,200",Student Activity Groups (SAG),36
UC Rally Committee,Student Activity Group (SAG),46091,34020249200000,,,,"$67,500","$67,500",Student Activity Groups (SAG),124
Undergraduate Biotech Association,Student Activity Group (SAG),91246,34020611200000,,,,$450,$450,Student Activity Groups (SAG),1
Undergraduate Economics Association,Student Activity Group (SAG),46093,34020250400000,,,,$990,$990,Student Activity Groups (SAG),22
Undergraduate Lab at Berkeley (ULAB),Student Activity Group (SAG),158422,34020377600000,,,,"$2,700","$2,700",Student Activity Groups (SAG),5
Undergraduate Moot Court Team,Student Activity Group (SAG),301958,34020522800000,,,,"$9,000","$9,000",Student Activity Groups (SAG),4
Undergraduate Real Estate Club,Student Activity Group (SAG),46098,34020252400000,,,,"$2,500","$2,500",Student Activity Groups (SAG),10
Undergraduate Student Council of the College of Environmental Design,Student Activity Group (SAG),158361,34020359200000,,,,$500,$500,Student Activity Groups (SAG),5
Undergraduate Women in Economics at Berkeley,Student Activity Group (SAG),145707,34020334000000,,,,$650,$650,Student Activity Groups (SAG),4
United Geographers Society of Berkeley,Student Activity Group (SAG),302472,34020614800000,,,,$500,$500,Student Activity Groups (SAG),2
United Nations Association of Berkeley,Student Activity Group (SAG),91855,34020253200000,,,,$500,$500,Student Activity Groups (SAG),1
UNITY Resource Center,Student Activity Group (SAG),91538,34020449200000,,,,SPONSORSHIP ONLY (ABSA),$0,Student Activity Groups (SAG),1
Unwind,Student Activity Group (SAG),385103,34020611600000,,,,$500,$500,Student Activity Groups (SAG),1
UpSync,Student Activity Group (SAG),157460,34020355200000,,,,SPONSORSHIP ONLY (ABSA),$0,Student Activity Groups (SAG),9
Venture Strategy Solutions at Berkeley,Student Activity Group (SAG),91857,34020290400000,,,,SPONSORSHIP ONLY (ABSA),$0,Student Activity Groups (SAG),2
Vertical Takeoff or Landing at Berkeley,Student Activity Group (SAG),375789,34020588800000,,,,$650,$650,Student Activity Groups (SAG),1
VISION,Student Activity Group (SAG),85779,34020256400000,,,,"$1,600","$1,600",Student Activity Groups (SAG),13
Voyager Consulting,Student Activity Group (SAG),76135,34020258800000,,,,SPONSORSHIP ONLY (ABSA),$0,Student Activity Groups (SAG),3
Women's Baseball Club at Berkeley,Student Activity Group (SAG),368055,34020598400000,,,,$585,$585,Student Activity Groups (SAG),2
Yarn Arts at Berkeley,Student Activity Group (SAG),350851,34020573600000,,,,$150,$150,Student Activity Groups (SAG),2
YEP @ Berkeley,Student Activity Group (SAG),368929,34020596000000,,,,$500,$500,Student Activity Groups (SAG),1
Young Democratic Socialists of America at Berkeley,Student Activity Group (SAG),91558,34020428000000,,,,$500,$500,Student Activity Groups (SAG),6
Zahanat,Student Activity Group (SAG),91813,34020266000000,,,,$800,$800,Student Activity Groups (SAG),8
Zawadi: Black LGBTQ Community at Berkeley,Student Activity Group (SAG),46461,34020384000000,,,,SPONSORSHIP ONLY (ABSA),$0,Student Activity Groups (SAG),1
,,,,,,,,,Student Activity Groups (SAG),
TrueLement,Student Activity Group (SAG),91736,34020283200000,,,,ROLLING SPONSORSHIP,$0,Student Activity Groups (SAG),2
Undergraduate Marketing Association,Student Activity Group (SAG),46095,34020251600000,,,,ROLLING SPONSORSHIP,$0,Student Activity Groups (SAG),3
Institute of Transportation Engineers at UC Berkeley [under ESC],Student Activity Group (SAG),45968,34020133200000,,,,ROLLING SPONSORSHIP,$0,Student Activity Groups (SAG),1
Computer Science Mentors,Student Activity Group (SAG),123064,34020336800000,,,,ROLLING SPONSORSHIP,$0,Student Activity Groups (SAG),9
Catholics at Cal (Formerly known as Catholic Students at Cal - Newman Hall),Student Activity Group (SAG),46681,34020074400000,,,,ROLLING SPONSORSHIP,$0,Student Activity Groups (SAG),4
Eggster Organization,Student Activity Group (SAG),45941,34020100400000,,,,ROLLING SPONSORSHIP,$0,Student Activity Groups (SAG),24
Coffee Club at Berkeley (CCB),Student Activity Group (SAG),350847,34020552400000,,,,ROLLING SPONSORSHIP,$0,Student Activity Groups (SAG),3
Formula SAE (Society of Automotive Engineers) [under ESC],Student Activity Group (SAG),45955,34020112000000,,,,ROLLING SPONSORSHIP,$0,Student Activity Groups (SAG),8
Combat Robotics at Berkeley,Student Activity Group (SAG),322279,34020494400000,,,,ROLLING SPONSORSHIP,$0,Student Activity Groups (SAG),3
Queer + Allied Pre-Health / Pre-Medical Association [under QARC],Student Activity Group (SAG),146236,34020397200000,,,,"$1,800","$1,800",Student Activity Groups (SAG),2
Berkeley College Republicans,Student Activity Group (SAG),45885,34020042800000,,,,ROLLING SPONSORSHIP,$0,Student Activity Groups (SAG),28
Celli@Berkeley,Student Activity Group (SAG),91318,34020442400000,,$650,,ROLLING SPONSORSHIP,$650,Student Activity Groups (SAG),2
Quantum Computing at Berkeley,Student Activity Group (SAG),92137,34020399200000,,,,ROLLING SPONSORSHIP,$0,Student Activity Groups (SAG),3
DiversaTech,Student Activity Group (SAG),145590,34020321600000,,,,ROLLING SPONSORSHIP,$0,Student Activity Groups (SAG),5
Machine Learning at Berkeley,Student Activity Group (SAG),143254,34020313600000,,,,ROLLING SPONSORSHIP,$0,Student Activity Groups (SAG),3
Abba Modern,Student Activity Group (SAG),59420,34020012400000,,,,ROLLING SPONSORSHIP,$0,Student Activity Groups (SAG),8
Delta Phi Epsilon Co-ed Professional Foreign Service Fraternity,Student Activity Group (SAG),45938,34020092800000,,,,ROLLING SPONSORSHIP,$0,Student Activity Groups (SAG),20
Young Americans for Liberty,Student Activity Group (SAG),92002,34020450800000,,,,ROLLING SPONSORSHIP,$0,Student Activity Groups (SAG),1
