Organization,Sponsorship Category,OASIS Org ID,SUFIN Account (External ID),Finance Rule Waiver,Contingency Funding,Space Reservation Funding,Final Allocation,Total Funding,Org Category,Years of Sponsorship
"Period Project at Berkeley, The",Student Activity Group (SAG),234224,34020454400000,,,,ROLLING SPONSORSHIP,$0,Student Activity Groups (SAG),5
Web Development at Berkeley,Student Activity Group (SAG),319850,34020487600000,,,,ROLLING SPONSORSHIP,$0,Student Activity Groups (SAG),4
Korean American Student Association,Student Activity Group (SAG),45995,34020147200000,,,,ROLLING SPONSORSHIP,$0,Student Activity Groups (SAG),42
Riot Games at Berkeley,Student Activity Group (SAG),91215,34020154400000,,,,ROLLING SPONSORSHIP,$0,Student Activity Groups (SAG),2
"Alpha Epsilon Zeta Fraternity, Inc.",Student Activity Group (SAG),45856,34020016800000,,,,ROLLING SPONSORSHIP,$0,Student Activity Groups (SAG),18
Rubik's Cube Club at Berkeley,Student Activity Group (SAG),46574,34020206000000,,,,ROLLING SPONSORSHIP,$0,Student Activity Groups (SAG),13
IDEA Factory,Student Activity Group (SAG),120911,34020445200000,,,,ROLLING SPONSORSHIP,$0,Student Activity Groups (SAG),2
Egyptian Student Association at Berkeley,Student Activity Group (SAG),,,,,,ROLLING SPONSORSHIP,$0,Student Activity Groups (SAG),2
Next Generation Consulting at Berkeley,Student Activity Group (SAG),,,,,,ROLLING SPONSORSHIP,$0,Student Activity Groups (SAG),1
Generative AI at Berkeley,Student Activity Group (SAG),,,,,,ROLLING SPONSORSHIP,$0,Student Activity Groups (SAG),1
ASCEND,Student Activity Group (SAG),,,,,,ROLLING SPONSORSHIP,$0,Student Activity Groups (SAG),1
SBC Strategy Consulting (Formerly known as Seed Base Consulting),Student Activity Group (SAG),,,,,,ROLLING SPONSORSHIP,$0,Student Activity Groups (SAG),1
Codebase,Student Activity Group (SAG),,,,,,ROLLING SPONSORSHIP,$0,Student Activity Groups (SAG),1
Space Technologies and Rocketry,Student Activity Group (SAG),,,,,,ROLLING SPONSORSHIP,$0,Student Activity Groups (SAG),1
Bioengineering Honor Society,Student Activity Group (SAG),,,,,,ROLLING SPONSORSHIP,$0,Student Activity Groups (SAG),1
Phoenix Consulting Group,Student Activity Group (SAG),,,,,,ROLLING SPONSORSHIP,$0,Student Activity Groups (SAG),1
Phi Chi Pre-Health Fraternity,Student Activity Group (SAG),,,,,,ROLLING SPONSORSHIP,$0,Student Activity Groups (SAG),1
Chi Epsilon,Student Activity Group (SAG),,,,,,ROLLING SPONSORSHIP,$0,Student Activity Groups (SAG),1
B PsychEd,Student Activity Group (SAG),,,,,,ROLLING SPONSORSHIP,$0,Student Activity Groups (SAG),1
UX @ Berkeley,Student Activity Group (SAG),,,,,,ROLLING SPONSORSHIP,$0,Student Activity Groups (SAG),1
Vagabond Multicultural Journal,Student Activity Group (SAG),,,,,,ROLLING SPONSORSHIP,$0,Student Activity Groups (SAG),3
Toxicology Student Association of Berkeley,Student Activity Group (SAG),,,,,,ROLLING SPONSORSHIP,$0,Student Activity Groups (SAG),1
Pi Sigma Epsilon,Student Activity Group (SAG),,,,,,ROLLING SPONSORSHIP,$0,Student Activity Groups (SAG),1
International Software Product Management Association at Berkeley,Student Activity Group (SAG),375791,,,,,ROLLING SPONSORSHIP,$0,Student Activity Groups (SAG),2
Sustainable Entrepreneurship at Berkeley,Student Activity Group (SAG),361435,,,,,ROLLING SPONSORSHIP,$0,Student Activity Groups (SAG),2
History of Art Undergraduate Association,Student Activity Group (SAG),385435,,,,,ROLLING SPONSORSHIP,$0,Student Activity Groups (SAG),2
Finance Excellence & Development Society,Student Activity Group (SAG),92103,,,$400,,ROLLING SPONSORSHIP,$400,Student Activity Groups (SAG),1
GlobalHope 365,Student Activity Group (SAG),361568,,,,,ROLLING SPONSORSHIP,$0,Student Activity Groups (SAG),1
Women in Weightlifting,Student Activity Group (SAG),350133,,,,,ROLLING SPONSORSHIP,$0,Student Activity Groups (SAG),2
Ballet & Books at Berkeley,Student Activity Group (SAG),91231,,,,,ROLLING SPONSORSHIP,$0,Student Activity Groups (SAG),2
Young Americans for Freedom,Student Activity Group (SAG),357916,,,,,ROLLING SPONSORSHIP,$0,Student Activity Groups (SAG),1
Republican Jewish Coalition,Student Activity Group (SAG),361545,,,,,ROLLING SPONSORSHIP,$0,Student Activity Groups (SAG),1
Hurling Club at Berkeley,Student Activity Group (SAG),343234,,,,,ROLLING SPONSORSHIP,$0,Student Activity Groups (SAG),1
Social Welfare Association for the Greater Good (SWAGG),Student Activity Group (SAG),,,,,,ROLLING SPONSORSHIP,$0,Student Activity Groups (SAG),1
Molecular and Cell Biology Undergraduate Student Association,Student Activity Group (SAG),,,,,,ROLLING SPONSORSHIP,$0,Student Activity Groups (SAG),10
Azaad,Student Activity Group (SAG),,,,,,ROLLING SPONSORSHIP,$0,Student Activity Groups (SAG),6
Civil and Environmental Engineering Joint Fundraising Committee,Student Activity Group (SAG),,,,,,ROLLING SPONSORSHIP,$0,Student Activity Groups (SAG),1
Asian Americans at Haas,Student Activity Group (SAG),,,,,,ROLLING SPONSORSHIP,$0,Student Activity Groups (SAG),1
Dil Se,Student Activity Group (SAG),,,,,,ROLLING SPONSORSHIP,$0,Student Activity Groups (SAG),9
OPEN at Berkeley,Student Activity Group (SAG),,,,,,ROLLING SPONSORSHIP,$0,Student Activity Groups (SAG),2
Undergraduate Astronomy Society - Berkeley,Student Activity Group (SAG),,,,,,ROLLING SPONSORSHIP,$0,Student Activity Groups (SAG),1
Student Nutrition Advocacy Club,Student Activity Group (SAG),,,,,,ROLLING SPONSORSHIP,$0,Student Activity Groups (SAG),1
AI Entrepreneurs at Berkeley,Student Activity Group (SAG),,,,,,ROLLING SPONSORSHIP,$0,Student Activity Groups (SAG),2
Expansion Pictures,Student Activity Group (SAG),,,,,,ROLLING SPONSORSHIP,$0,Student Activity Groups (SAG),1
Alpha Phi Omega,Student Activity Group (SAG),,,,,,ROLLING SPONSORSHIP,$0,Student Activity Groups (SAG),38
Soul,Student Activity Group (SAG),,,,,,ROLLING SPONSORSHIP,$0,Student Activity Groups (SAG),3
Atrium,Student Activity Group (SAG),,,,,,ROLLING SPONSORSHIP,$0,Student Activity Groups (SAG),3
Delta Kappa Alpha,Student Activity Group (SAG),,,,,,ROLLING SPONSORSHIP,$0,Student Activity Groups (SAG),1
Space Enterprise at Berkeley,Student Activity Group (SAG),,,,,,ROLLING SPONSORSHIP,$0,Student Activity Groups (SAG),8
Ideas on Consciousness,Student Activity Group (SAG),,,,,,ROLLING SPONSORSHIP,$0,Student Activity Groups (SAG),1
Rhythm at Berkeley,Student Activity Group (SAG),,,,,,ROLLING SPONSORSHIP,$0,Student Activity Groups (SAG),3
Berkeley Consulting,Student Activity Group (SAG),,,,,,ROLLING SPONSORSHIP,$0,Student Activity Groups (SAG),1
Thai Students Association,Student Activity Group (SAG),,,,,,ROLLING SPONSORSHIP,$0,Student Activity Groups (SAG),1
DAES’ Black Film Collective,Student Activity Group (SAG),,,,,,ROLLING SPONSORSHIP,$0,Student Activity Groups (SAG),2
Armenian Pre-Law Society,Student Activity Group (SAG),,,,,,ROLLING SPONSORSHIP,$0,Student Activity Groups (SAG),1
Russian Speaking Student Association,Student Activity Group (SAG),,,,,,ROLLING SPONSORSHIP,$0,Student Activity Groups (SAG),3
Asian Community Health,Student Activity Group (SAG),,,,,,ROLLING SPONSORSHIP,$0,Student Activity Groups (SAG),1
International Students Association at Berkeley,Student Activity Group (SAG),,,,,,ROLLING SPONSORSHIP,$0,Student Activity Groups (SAG),24
Extended Reality @ Berkeley,Student Activity Group (SAG),,,,,,ROLLING SPONSORSHIP,$0,Student Activity Groups (SAG),4
American Constitution Society at Berkeley,Student Activity Group (SAG),,,,,,ROLLING SPONSORSHIP,$0,Student Activity Groups (SAG),1
Tether Dance Company,Student Activity Group (SAG),,,,,,ROLLING SPONSORSHIP,$0,Student Activity Groups (SAG),1
Call of Duty at Berkeley,Student Activity Group (SAG),,,,,,ROLLING SPONSORSHIP,$0,Student Activity Groups (SAG),1
Tiny Dorm at Berkeley,Student Activity Group (SAG),,,,,,ROLLING SPONSORSHIP,$0,Student Activity Groups (SAG),2
Mobile Developers of Berkeley,Student Activity Group (SAG),136662,34020312000000,,,,ROLLING SPONSORSHIP,$0,Student Activity Groups (SAG),2
AI Achievers @ Berkeley,Student-Initiated Service Group (SISG),385343,34020613200000,,,,$650,$650,Student-Initiated Service Group (SISG),1
Alternative Breaks,Student-Initiated Service Group (SISG),45989,34020019600000,,,,"$8,000","$8,000",Student-Initiated Service Group (SISG),22
America's Toothfairy at Berkeley,Student-Initiated Service Group (SISG),324630,34020514000000,,,,$750,$750,Student-Initiated Service Group (SISG),3
American Red Cross at Cal,Student-Initiated Service Group (SISG),45991,34020023200000,,,,"$8,000","$8,000",Student-Initiated Service Group (SISG),20
Amnesty International,Student-Initiated Service Group (SISG),45992,34020024000000,,,,$100,$100,Student-Initiated Service Group (SISG),1
"Asha for Education, Berkeley",Student-Initiated Service Group (SISG),45867,34020028000000,,,,"$5,800","$5,800",Student-Initiated Service Group (SISG),19
Bears For Palestine,Student-Initiated Service Group (SISG),157342,34020352400000,,,,"$6,500","$6,500",Student-Initiated Service Group (SISG),10
Berkeley Disaster Team,Student-Initiated Service Group (SISG),158530,34020352000000,,,,"$1,188","$1,188",Student-Initiated Service Group (SISG),9
Berkeley Medical Reserve Corps,Student-Initiated Service Group (SISG),46552,34020046800000,,,,"$4,500","$4,500",Student-Initiated Service Group (SISG),11
Best Buddies at Berkeley,Student-Initiated Service Group (SISG),46038,34020052000000,,,,$800,$800,Student-Initiated Service Group (SISG),1
Bhagat Puran Singh Health Initiative @ Berkeley,Student-Initiated Service Group (SISG),91443,34020285200000,,,,"$3,000","$3,000",Student-Initiated Service Group (SISG),10
Blood Pressure Project,Student-Initiated Service Group (SISG),92019,34020055600000,,,,"$1,000","$1,000",Student-Initiated Service Group (SISG),10
"Blueprint, Technology for Nonprofits",Student-Initiated Service Group (SISG),80168,34020056000000,,,,"$4,800","$4,800",Student-Initiated Service Group (SISG),11
Brain Exercise Initiative,Student-Initiated Service Group (SISG),322119,34020490800000,,,,$500,$500,Student-Initiated Service Group (SISG),4
BUILD Literacy Program,Student-Initiated Service Group (SISG),145741,34020336400000,,,,$750,$750,Student-Initiated Service Group (SISG),6
Cal Community Music,Student-Initiated Service Group (SISG),46067,34020061600000,,,,$671,$671,Student-Initiated Service Group (SISG),39
Cal Rotaract,Student-Initiated Service Group (SISG),46202,34020205600000,,,,SPONSORSHIP ONLY (ABSA),$0,Student-Initiated Service Group (SISG),21
California Health Professional Student Alliance at Berkeley,Student-Initiated Service Group (SISG),91275,34020371200000,,,,$683,$683,Student-Initiated Service Group (SISG),7
CASCADE: Community Service,Student-Initiated Service Group (SISG),351112,34020541600000,,,,$750,$750,Student-Initiated Service Group (SISG),3
Central Americans for Empowerment,Student-Initiated Service Group (SISG),166113,34020378400000,,,,$650,$650,Student-Initiated Service Group (SISG),2
Community Projects,Student-Initiated Service Group (SISG),63025,34020050000000,,,,"$85,000","$85,000",Student-Initiated Service Group (SISG),55
Comunidad For Health Equity,Student-Initiated Service Group (SISG),46099,34020075600000,,,,"$6,500","$6,500",Student-Initiated Service Group (SISG),34
"Delta Epsilon Mu Inc., (Alpha Psi)",Student-Initiated Service Group (SISG),332977,34020500000000,,,,"$1,000","$1,000",Student-Initiated Service Group (SISG),5
DeTrash@Berkeley,Student-Initiated Service Group (SISG),361218,34020545600000,,,,$413,$413,Student-Initiated Service Group (SISG),3
Elder Welfare Mentorship,Student-Initiated Service Group (SISG),384615,34020612000000,,,,$360,$360,Student-Initiated Service Group (SISG),1
Engineers and Mentors of Berkeley,Student-Initiated Service Group (SISG),46024,34020104000000,,,,SPONSORSHIP ONLY (ABSA),$0,Student-Initiated Service Group (SISG),13
Fighting Cancer at Berkeley,Student-Initiated Service Group (SISG),135420,34020596400000,,,,$650,$650,Student-Initiated Service Group (SISG),1
Fighting for Hope at Berkeley,Student-Initiated Service Group (SISG),351383,34020532400000,,,,ROLLING SPONSORSHIP,$0,Student-Initiated Service Group (SISG),3
"G.I.F.T.E.D. (Give to Inspire the Future of Talented, Educated Doctors) Pre-Med",Student-Initiated Service Group (SISG),361804,34020549600000,,,,$750,$750,Student-Initiated Service Group (SISG),3
Global Medical Missions Alliance at Berkeley,Student-Initiated Service Group (SISG),143054,34020413200000,,,,$650,$650,Student-Initiated Service Group (SISG),8
Global Medical Training,Student-Initiated Service Group (SISG),46249,34020292000000,,,,$440,$440,Student-Initiated Service Group (SISG),3
Health and Medical Apprenticeship Program,Student-Initiated Service Group (SISG),46139,34020123200000,$120,,,"$8,000","$8,000",Student-Initiated Service Group (SISG),41
"Health, Education, and Life",Student-Initiated Service Group (SISG),378404,34020612400000,,,,$650,$650,Student-Initiated Service Group (SISG),1
Hmong Student Association at Berkeley,Student-Initiated Service Group (SISG),46150,34020126800000,,,,"$3,200","$3,200",Student-Initiated Service Group (SISG),17
Imago Dei Clinic,Student-Initiated Service Group (SISG),343530,34020520800000,,,,$400,$400,Student-Initiated Service Group (SISG),3
Junior Care Clinic at Berkeley,Student-Initiated Service Group (SISG),377367,34020585200000,,,,$675,$675,Student-Initiated Service Group (SISG),2
Labor Coach Program,Student-Initiated Service Group (SISG),46154,34020149200000,,,,"$2,100","$2,100",Student-Initiated Service Group (SISG),14
"Lambda Theta Alpha Latin Sorority, Inc.",Student-Initiated Service Group (SISG),46155,34020149600000,,,,"$1,300","$1,300",Student-Initiated Service Group (SISG),15
League of Filipino Students,Student-Initiated Service Group (SISG),65801,34020539600000,,,,$750,$750,Student-Initiated Service Group (SISG),3
Lean On Me at Berkeley,Student-Initiated Service Group (SISG),326053,34020514800000,,,,$750,$750,Student-Initiated Service Group (SISG),5
Leukemia & Lymphoma Society at Berkeley,Student-Initiated Service Group (SISG),46579,34020612800000,,,,$650,$650,Student-Initiated Service Group (SISG),1
Medical Volunteering Association at Berkeley,Student-Initiated Service Group (SISG),360314,34020554800000,,,,$750,$750,Student-Initiated Service Group (SISG),3
MEDLIFE,Student-Initiated Service Group (SISG),46602,34020160400000,,,,"$2,400","$2,400",Student-Initiated Service Group (SISG),14
MOVE: AA Community Organizing Fellowship,Student-Initiated Service Group (SISG),91576,34020412400000,,,,"$5,000","$5,000",Student-Initiated Service Group (SISG),7
Oakland Asian Student Educational Services,Student-Initiated Service Group (SISG),46186,34020172400000,,,,SPONSORSHIP ONLY (ABSA),$0,Student-Initiated Service Group (SISG),22
Paper Crane,Student-Initiated Service Group (SISG),302876,34020464000000,,,,SPONSORSHIP ONLY (ABSA),$0,Student-Initiated Service Group (SISG),5
Patient Advocacy Student Group,Student-Initiated Service Group (SISG),85562,34020181200000,,,,"$2,000","$2,000",Student-Initiated Service Group (SISG),13
Paws for Mental Health (Formerly De-Stress with Dogs),Student-Initiated Service Group (SISG),158866,34020379200000,,,,"$2,600","$2,600",Student-Initiated Service Group (SISG),5
Polish Club of Berkeley,Student-Initiated Service Group (SISG),125968,34020526800000,,,,$750,$750,Student-Initiated Service Group (SISG),1
Power of a Princess,Student-Initiated Service Group (SISG),320866,34020485200000,,,,$700,$700,Student-Initiated Service Group (SISG),4
POWER-Bay Area: Physical science Opportunities for Women in Education and Research,Student-Initiated Service Group (SISG),91996,34020527200000,,,,$620,$620,Student-Initiated Service Group (SISG),4
Puerto Rico Se Levanta,Student-Initiated Service Group (SISG),237715,34020462800000,,,,SPONSORSHIP ONLY (ABSA),$0,Student-Initiated Service Group (SISG),1
Queer Alliance & Resource Center,Student-Initiated Service Group (SISG),46193,34020200400000,,,,"$35,000","$35,000",Student-Initiated Service Group (SISG),56
Renters' Legal Assistance,Student-Initiated Service Group (SISG),46200,34020204800000,,,,$500,$500,Student-Initiated Service Group (SISG),42
Sikh Students Association,Student-Initiated Service Group (SISG),46057,34020213600000,,,,"$3,000","$3,000",Student-Initiated Service Group (SISG),23
Southeast Asian Mentorship,Student-Initiated Service Group (SISG),46208,34020218400000,,,,"$4,000","$4,000",Student-Initiated Service Group (SISG),15
Southeast Asian Student Coalition,Student-Initiated Service Group (SISG),46207,34020219200000,,,,"$6,000","$6,000",Student-Initiated Service Group (SISG),17
Student to Student Peer Counseling,Student-Initiated Service Group (SISG),46212,34020230000000,,,,$800,$800,Student-Initiated Service Group (SISG),32
Students for Comprehensive Healthcare,Student-Initiated Service Group (SISG),289555,34020534000000,,,,$700,$700,Student-Initiated Service Group (SISG),2
The Berkeley Group,Student-Initiated Service Group (SISG),45888,34020045200000,,,,"$4,000","$4,000",Student-Initiated Service Group (SISG),22
The Berkeley Project,Student-Initiated Service Group (SISG),46029,34020048800000,,,,SPONSORSHIP ONLY (ABSA),$0,Student-Initiated Service Group (SISG),18
The Sage Mentorship Project,Student-Initiated Service Group (SISG),46291,34020207200000,,,,SPONSORSHIP ONLY (ABSA),$0,Student-Initiated Service Group (SISG),12
Undergraduate Street Medicine Outreach,Student-Initiated Service Group (SISG),221131,34020552800000,,,,SPONSORSHIP ONLY (ABSA),$0,Student-Initiated Service Group (SISG),3
United For Health at Berkeley,Student-Initiated Service Group (SISG),351686,34020531600000,,,,$650,$650,Student-Initiated Service Group (SISG),2
Universities Allied for Essential Medicines,Student-Initiated Service Group (SISG),115762,34020254000000,,,,$720,$720,Student-Initiated Service Group (SISG),10
Vietnamese Student Association,Student-Initiated Service Group (SISG),46104,34020256000000,,,,"$8,000","$8,000",Student-Initiated Service Group (SISG),33
Volunteer Health Interpreters Organization,Student-Initiated Service Group (SISG),46203,34020257200000,,,,"$6,000","$6,000",Student-Initiated Service Group (SISG),18
Volunteer Income Tax Assistance Program,Student-Initiated Service Group (SISG),92059,34020257600000,,,,"$3,000","$3,000",Student-Initiated Service Group (SISG),12
FeelGood,Student-Initiated Service Group (SISG),46127,34020108800000,,,,ROLLING SPONSORSHIP,$0,Student-Initiated Service Group (SISG),5
Jeeva Clinic,Student-Initiated Service Group (SISG),91211,34020411600000,,$500,,ROLLING SPONSORSHIP,$500,Student-Initiated Service Group (SISG),2
Operation Smile at Berkeley,Student-Initiated Service Group (SISG),,,,,,,,Student-Initiated Service Group (SISG),1
American Lung Cancer Screening Initiative at Berkeley,Student-Initiated Service Group (SISG),,,,,,,,Student-Initiated Service Group (SISG),3
Project Lux at Berkeley,Student-Initiated Service Group (SISG),361705,34020574000000,,,,ROLLING SPONSORSHIP,$0,Student-Initiated Service Group (SISG),2
Volunteers for Medical Outreach,Student-Initiated Service Group (SISG),46258,34020258400000,,,,"$3,500","$3,500",Student-Initiated Service Group (SISG),12
Chief-of-Staff Stipend,OP,45908,340100148STIPE,,,,"$2,000","$2,000",Office of the President,
President Discretionary Fund,OP,45908,34010014800000,,,,"$5,000","$5,000",Office of the President,
President Stipend,OP,45908,340100148STIPE,,,,"$4,000","$4,000",Office of the President,
Chief-of-Staff Stipend,EVP,45910,340100144STIPE,,,,"$2,000","$2,000",Office of the Executive Vice President,
EVP Discretionary Fund,EVP,45910,34010014400000,,,,"$2,000","$2,000",Office of the Executive Vice President,
EVP Spaces Director Stipend,EVP,45910,340100144STIPE,,,,$500,$500,Office of the Executive Vice President,
EVP Stipend,EVP,45910,340100144STIPE,,,,"$4,000","$4,000",Office of the Executive Vice President,
Senate Vice Chair,EVP,45910,340100144STIPE,,,,$300,$300,Office of the Executive Vice President,
Co-Campus Organizing Directors Stipend,EAVP,45913,340100140STIPE,,,,"$2,000","$2,000",Office of External Affairs Vice President,
Chief-of-Staff Stipend,EAVP,45913,340100140STIPE,,,,"$2,000","$2,000",Office of External Affairs Vice President,
EAVP Discretionary Fund,EAVP,45913,34010014000000,,,,"$40,000","$40,000",Office of External Affairs Vice President,
EAVP Stipend,EAVP,45913,340100140STIPE,,,,"$4,000","$4,000",Office of External Affairs Vice President,
Co-Legislative Affairs Directors Stipend,EAVP,45913,340100140STIPE,,,,"$2,000","$2,000",Office of External Affairs Vice President,
Legislative Conference,EAVP,45913,340100140LEGIS,,,,"$20,000","$20,000",Office of External Affairs Vice President,
AAVP Discretionary Fund,AAVP,45917,34010013600000,,,,"$6,000","$6,000",Office of the Academic Affairs Vice President,
AAVP Stipend,AAVP,45917,340100136STIPE,,,,"$4,000","$4,000",Office of the Academic Affairs Vice President,
Chief-of-Staff Stipend,AAVP,46017,340100136STIPE,,,,"$2,000","$2,000",Office of the Academic Affairs Vice President,
Director Stipends,AAVP,45917,340100136STIPE,,,,"$3,000","$3,000",Office of the Academic Affairs Vice President,
Internal Chief-of-Staff Stipend,SAO,45921,340100228STIPE,,,,"$1,250","$1,250",Student Advocate's Office,
External Chief-of-Staff Stipend,SAO,45921,340100228STIPE,,,,"$1,250","$1,250",Student Advocate's Office,
SAO Discretionary Fund,SAO,45921,34010022800000,,,,"$10,000","$10,000",Student Advocate's Office,
SAO Caseworker stipends,SAO,45921,340100228STIPE,,,,"$20,000","$20,000",Student Advocate's Office,
SAO Stipend,SAO,45921,340100228STIPE,,,,"$4,000","$4,000",Student Advocate's Office,
ASUC Professional Development,SEN,45924,340100152PRDEV,,,,"$15,000","$15,000",Senate,
ASUC Conference,SEN,45924,340100152ASCON,,,,"$4,000","$4,000",Senate,
Senate Leadership Institute / Senate Meetings,SEN,45924,340100152SLIFU,,,,"$4,000","$4,000",Senate,
Senator Discretionary Funds ($750.00 each),SEN,45924,34010015200000,,,,"$15,750","$15,750",Senate,
Senator Stipends ($2500.00 each),SEN,45924,340100152STIPE,,,,"$52,500","$52,500",Senate,
Student Union Board of Directors Chair Stipend,AOFR,268813,340100356STIPE,,,,"$3,000","$3,000",Appointed Officials,
Chief Appointed Officials Support Staff Stipends ,AOFR,201312,340100238STIPE,,,,"$2,500","$2,500",Appointed Officials,
Chief Communications Officer Stipend,AOFR,104125,340100248STIPE,,,,"$3,000","$3,000",Appointed Officials,
Chief Financial Officer Stipend,AOFR,46279,340100132STIPE,,,,"$3,000","$3,000",Appointed Officials,
Chief Legal Officer Stipend,AOFR,140399,340100308STIPE,,,,"$3,000","$3,000",Appointed Officials,
Chief Personnel Officer Stipend,AOFR,132841,340100180STIPE,,,,"$3,000","$3,000",Appointed Officials,
Chief Technology Officer Stipend,AOFR,132187,340100292STIPE,,,,"$3,000","$3,000",Appointed Officials,
Judicial Council Chair Stipend,AOFR,46013,340100196STIPE,,,,"$1,000","$1,000",Appointed Officials,
Judicial Council Assistant Chair Stipend,AOFR,46013,340100196STIPE,,,,$500,$500,Appointed Officials,
Judicial Council Undergraduate Stipends (7 x $300),AOFR,46013,340100196STIPE,,,,"$2,100","$2,100",Appointed Officials,
Judicial Council Office,AOFR,46013,34010019600000,,,,$300,$300,Appointed Officials,
Communications Office,AOFR,104125,34010024800000,,,,"$4,500","$4,500",Appointed Officials,
Finance Office,AOFR,46279,34010013200000,,,,$600,$600,Appointed Officials,
Legal Office,AOFR,140399,34010030800000,,,,$0,$0,Appointed Officials,
Personnel Office,AOFR,132841,34010018000000,,,,"$3,000","$3,000",Appointed Officials,
Technology Office,AOFR,132187,34010029200000,,,,"$2,000","$2,000",Appointed Officials,
SU Board Undergraduate Team,AOFR,268813,34010035600000,,,,$500,$500,Appointed Officials,
Public Defender Stipend,AOFR,46013,340100196STIPE,,,,$150,$150,Appointed Officials,
Archives,OPRS,46374,330100160ARCHV,,,,"$5,000","$5,000",Operations,
ASUC Administrative Office,OPRS,45999,34010021600000,,,,"$85,000","$85,000",Operations,
ASUC End of Year Banquet,OPRS,45924,330100160BANQT,,,,"$7,500","$7,500",Operations,
Audit,OPRS,46374,33010016000000,,,,"$30,000","$30,000",Operations,
Bank Fee,OPRS,46374,33010016000000,,,,"$1,000","$1,000",Operations,
Big Ideas,OPRS,91974,34010030000000,,,,"$15,000","$15,000",Operations,
Capital Improvement Fund,OPRS,46030,34010025600000,,,,"$25,000","$25,000",Operations,
Contingency Fund,OPRS,45936,34010022000000,,,,"$100,000","$100,000",Operations,
Legal Fee,OPRS,46374,330100160LEGAL,,,,"$30,000","$30,000",Operations,
Space Reservation Fund (from CACSSF),OPRS,,,,,,"$50,000","$50,000",Operations,
Elections Council - 2 Director Stipends ($150.00 each),ELCT,46011,340100128STIPE,,,,$300,$300,Elections,
Elections Council - 3 Auditor/Prosecutor Assistant Stipends ($100.00 each),ELCT,46011,340100128STIPE,,,,$300,$300,Elections,
Elections Council - Assistant Chair Stipend,ELCT,46011,340100128STIPE,,,,$500,$500,Elections,
Elections Council - Chair Stipend,ELCT,46011,340100128STIPE,,,,"$2,000","$2,000",Elections,
Elections Council - Chief Auditor Stipend,ELCT,46011,340100128STIPE,,,,$500,$500,Elections,
Elections Council - Prosecutor Stipend,ELCT,46011,340100128STIPE,,,,$500,$500,Elections,
Elections Operations,ELCT,46011,34010012800000,,,,"$3,000","$3,000",Elections,
D&O Insurance,GEN,46374,33010016000000,,,,"$3,000","$3,000",External Expenditures,
GL Insurance,GEN,46374,33010016000000,,,,"$20,000","$20,000",External Expenditures,
